PlayerID,TeamID,GameID,GameAt,LocationName,IsAvailable,IsAvailableForSeconds
P977,T-P08,G-P08,2026-09-06 10:00,Tiger Stadium,true,false
P981,T-P09,G-P09,2026-09-06 15:00,Colt Meadow,true,true
P8401,T-P09,G-P09,2026-09-06 15:00,Colt Meadow,true,false
P8402,T-P09,G-P09,2026-09-06 15:00,Colt Meadow,true,false
P8403,T-P09,G-P09,2026-09-06 15:00,Colt Meadow,true,false
P8404,T-P09,G-P09,2026-09-06 15:00,Colt Meadow,true,false
P8405,T-P09,G-P09,2026-09-06 15:00,Colt Meadow,true,false
P8406,T-P09,G-P09,2026-09-06 15:00,Colt Meadow,true,false
P8407,T-P09,G-P09,2026-09-06 15:00,Colt Meadow,true,false
P8408,T-P09,G-P09,2026-09-06 15:00,Colt Meadow,true,false
P8409,T-P09,G-P09,2026-09-06 15:00,Colt Meadow,true,false
P983,T-P10,G-P10,2026-09-06 15:00,Otter Creek Park,true,true
P8701,T-P10,G-P10,2026-09-06 15:00,Otter Creek Park,true,false
P8702,T-P10,G-P10,2026-09-06 15:00,Otter Creek Park,true,false
P8703,T-P10,G-P10,2026-09-06 15:00,Otter Creek Park,true,false
P8704,T-P10,G-P10,2026-09-06 15:00,Otter Creek Park,true,false
P8705,T-P10,G-P10,2026-09-06 15:00,Otter Creek Park,true,false
P8706,T-P10,G-P10,2026-09-06 15:00,Otter Creek Park,true,false
P8707,T-P10,G-P10,2026-09-06 15:00,Otter Creek Park,true,false
P8708,T-P10,G-P10,2026-09-06 15:00,Otter Creek Park,true,false
P8709,T-P10,G-P10,2026-09-06 15:00,Otter Creek Park,true,false
P8710,T-P10,G-P10,2026-09-06 15:00,Otter Creek Park,true,false
P8711,T-P10,G-P10,2026-09-06 15:00,Otter Creek Park,true,false
P8712,T-P10,G-P10,2026-09-06 15:00,Otter Creek Park,true,false
P982,T-P11,G-P11,2026-09-06 10:00,Fox Run Field,true,true
P8501,T-P11,G-P11,2026-09-06 10:00,Fox Run Field,true,false
P8502,T-P11,G-P11,2026-09-06 10:00,Fox Run Field,true,false
P8503,T-P11,G-P11,2026-09-06 10:00,Fox Run Field,true,false
P8504,T-P11,G-P11,2026-09-06 10:00,Fox Run Field,true,false
P8505,T-P11,G-P11,2026-09-06 10:00,Fox Run Field,true,false
P8506,T-P11,G-P11,2026-09-06 10:00,Fox Run Field,true,false
P8507,T-P11,G-P11,2026-09-06 10:00,Fox Run Field,true,false
P8508,T-P11,G-P11,2026-09-06 10:00,Fox Run Field,true,false
P8509,T-P11,G-P11,2026-09-06 10:00,Fox Run Field,true,false
P8510,T-P11,G-P11,2026-09-06 10:00,Fox Run Field,true,false
P8511,T-P11,G-P11,2026-09-06 10:00,Fox Run Field,true,false
P8512,T-P11,G-P11,2026-09-06 10:00,Fox Run Field,true,false
P994,T-P12,G-P12,2026-09-06 13:00,Shark Bay Oval,true,true
P8301,T-P12,G-P12,2026-09-06 13:00,Shark Bay Oval,true,false
P8302,T-P12,G-P12,2026-09-06 13:00,Shark Bay Oval,true,false
P8303,T-P12,G-P12,2026-09-06 13:00,Shark Bay Oval,true,false
P8304,T-P12,G-P12,2026-09-06 13:00,Shark Bay Oval,true,false
P8305,T-P12,G-P12,2026-09-06 13:00,Shark Bay Oval,true,false
P8306,T-P12,G-P12,2026-09-06 13:00,Shark Bay Oval,true,false
P8307,T-P12,G-P12,2026-09-06 13:00,Shark Bay Oval,true,false
P8308,T-P12,G-P12,2026-09-06 13:00,Shark Bay Oval,true,false
P8309,T-P12,G-P12,2026-09-06 13:00,Shark Bay Oval,true,false
